year,cpi_avg,to_2025_factor
1947,22.331666666666667,14.417280801145269
1948,24.045,13.38997334543186
1949,23.809166666666666,13.522603020863496
1950,24.0625,13.38023518299882
1951,25.973333333333333,12.395864056374837
1952,26.566666666666666,12.119017908064333
1953,26.768333333333334,12.027715923949035
1954,26.865,11.984437338206183
1955,26.795833333333334,12.015372132144018
1956,27.190833333333334,11.840825367283426
1957,28.113333333333333,11.452285122987044
1958,28.88083333333333,11.14794387595842
1959,29.150000000000002,11.04500545766412
1960,29.584999999999997,10.882606357644384
1961,29.901666666666667,10.767356638679308
1962,30.253333333333334,10.642196201770904
1963,30.633333333333336,10.510182016025324
1964,31.03833333333333,10.373041156341378
1965,31.528333333333332,10.211827745125838
1966,32.47083333333333,9.91541873242887
1967,33.375,9.646798774259448
1968,34.791666666666664,9.253994991834514
1969,36.68333333333333,8.776789888893479
1970,38.84166666666667,8.289085837998089
1971,40.483333333333334,7.952949586436619
1972,41.80833333333333,7.7009027488357775
1973,44.425000000000004,7.247313654269197
1974,49.31666666666666,6.528460474976191
1975,53.824999999999996,5.981642528395897
1976,56.93333333333334,5.655068660847349
1977,60.61666666666667,5.3114419976504115
1978,65.24166666666666,4.93491238867149
1979,72.58333333333333,4.435755349128484
1980,82.38333333333334,3.9080951943059974
1981,90.93333333333334,3.540636830178619
1982,96.53333333333335,3.335240770969362
1983,99.58333333333333,3.2330903004944846
1984,103.93333333333334,3.097773339553327
1985,107.60000000000001,2.9922110510307536
1986,109.69166666666666,2.9351537712458478
1987,113.61666666666667,2.833755984370624
1988,118.27499999999999,2.722146768893757
1989,123.94166666666666,2.597689039932031
1990,130.65833333333333,2.4641513547362135
1991,136.16666666666666,2.36446934460888
1992,140.30833333333334,2.29467417538214
1993,144.475,2.2284956503956335
1994,148.225,2.1721161011361723
1995,152.38333333333333,2.112842015252603
1996,156.85833333333332,2.0525648988423257
1997,160.525,2.0056807917203496
1998,163.00833333333333,1.975125458356377
1999,166.58333333333334,1.932737823457183
2000,172.1916666666667,1.8697879829119242
2001,177.04166666666666,1.8185657373927557
2002,179.86666666666667,1.7900032010243279
2003,184.0,1.7497929841897233
2004,188.90833333333333,1.7043287789893287
2005,195.26666666666665,1.6488319004314227
2006,201.5583333333333,1.5973634221238309
2007,207.34416666666667,1.5527898096525943
2008,215.25424999999998,1.4957284657139598
2009,214.56466666666665,1.5005355452633198
2010,218.0761666666667,1.4763736634413316
2011,224.923,1.4314316859143312
2012,229.58608333333333,1.4023581238739824
2013,232.95174999999998,1.3820969754076076
2014,236.715,1.3601246608407118
2015,237.00175000000002,1.3584790369307782
2016,240.00541666666666,1.3414776781395243
2017,245.121,1.3134815421400414
2018,251.0995,1.2822084834534082
2019,255.65258333333335,1.2593727976185485
2020,258.85575,1.2437889020850768
2021,270.97341666666665,1.1881678765816541
2022,292.62641666666667,1.1002489548223486
2023,304.70300000000003,1.0566417432414812
2024,313.6981666666667,1.0263429732856024
2025,321.9619090909091,1.0
2026,328.1136666666667,0.9812511388560745
