vintage_year,release_date,spot_release_month_nominal,futures_release_month_nominal,spot_release_month_real_2025,futures_release_month_real_2025
1987,1987-01-15,,,,
1988,1988-01-15,16.749444444444446,,46.48864749608151,
1989,1989-01-15,17.171904761904763,,45.61633036196477,
1990,1990-01-15,21.251818181818184,,53.66490943898883,
1991,1991-01-15,23.566363636363636,,56.32866686484199,
1992,1992-01-15,18.163636363636364,,42.28488098097919,
1993,1993-01-15,17.386000000000003,,39.19908789533996,
1994,1994-01-15,14.2915,,31.451255118063752,
1995,1995-01-15,16.551904761904762,,35.4091884135134,
1996,1996-01-15,17.853181818181817,,37.156073054485624,
1997,1997-01-15,23.53761904761905,,47.5421377918819,
1998,1998-01-15,15.186666666666667,,30.182272794612796,
1999,1999-01-15,11.1145,,21.727053057625437,
2000,2000-01-15,25.511,,48.51488637222789,
2001,2001-01-15,25.624545454545455,,46.982503269545745,
2002,2002-01-15,19.416818181818183,,35.179942882888334,
2003,2003-01-15,31.183636363636364,,54.983259014419815,
2004,2004-01-15,31.280952380952378,,54.05944791601313,
2005,2005-01-15,44.509,,74.79228920525718,
2006,2006-01-15,62.985238095238095,,101.75036378167744,
2007,2007-01-15,53.68142857142857,,84.95689193993431,
2008,2008-01-15,92.17809523809524,,139.87498712952944,
2009,2009-01-15,43.439499999999995,,65.99191418964742,
2010,2010-01-15,76.16736842105263,77.00842124537418,112.7556065036817,114.00067277384314
2011,2011-01-15,96.5235,96.78631591796875,140.50052820525784,140.88308556481647
2012,2012-01-15,110.68599999999999,111.46499977111816,156.40959906266784,157.5103980966062
2013,2013-04-15,102.24818181818182,103.56681893088601,142.0209054442301,143.85246893385406
2014,2014-05-07,109.53909090909092,109.21952420189267,148.85916152075214,148.42488338599057
2015,2015-04-14,59.52428571428571,60.96523775373186,81.12941498185671,83.09337968255572
2016,2016-09-15,46.567727272727275,47.2980953398205,62.166361390652746,63.14137837916061
2017,2017-01-05,54.57666666666666,55.4269998550415,72.12770727868295,73.25149491626524
2018,2018-02-06,65.3175,65.70368415430973,84.27776730177837,84.77605242127237
2019,2019-01-24,59.40954545454545,60.12190500895182,75.73461727174264,76.64272518268623
2020,2020-01-29,63.64545454545455,63.5999999273391,79.07864502893648,79.02216826030391
2021,2021-02-03,62.2765,62.22789423089279,76.07078269323428,76.01141071665576
2022,2022-03-03,117.24521739130434,112.46304420802905,131.21969320509675,125.86753205153174
2023,2023-03-16,78.43434782608696,79.2069562829059,83.66837418333168,84.49253981043255
2024,2024-01-15,80.12409090909091,79.19714319138299,83.29697083372984,82.33331638061519
2025,2025-04-15,68.1345,66.45666703723725,68.48759512883012,66.80106709020797
2026,2026-04-08,124.12428571428572,100.40699920654296,,
